DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter,cpi,cci,gdp,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,new_years,mothers_day,fathers_day,christmas
11/23/2015,2754371.67,67075.04,0,38185.46667,72903852.71,0,0,8125009,22821.39874,0,19401.65385,237.336,100.592,183.632,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/30/2015,2584276.67,85840.36,0,0,16581099.55,29511.71546,12400,7901549,3425.857351,0,14791,237.336,100.592,183.632,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12/7/2015,2547386.67,0,396835.2,1361.6,49954773.67,36132.35896,11360,8300197,12769.12613,0,14544,236.525,100.691,183.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2015,2875220.00,250350.92,0,53040,31649297.03,36804.21096,12760,8122883,8401.472031,0,2800,236.525,100.691,183.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2015,2215953.33,0,832008,0,8802269.479,28401.74407,10840,7105985,2068.747816,0,15478,236.525,100.691,183.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/2015,2569921.67,99675.92,0,95766.93333,49902081.11,38061.77591,11320,7097237,16011.01552,0,13817,236.525,100.691,183.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/4/2016,2171506.67,2061.16,680260.8,0,41147695.82,36289.51378,11120,6974368,10869.0367,0,28817,236.748,100.699,184.120,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/11/2016,2464131.67,8856.68,0,70743.86667,56554690.6,34765.10899,12800,7452174,12389.44846,0,19082,236.916,100.704,184.253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2016,2012520.00,0,0,0,35730563.64,28023.4815,9160,6703566,10869.0367,0,19679,236.916,100.704,184.253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2016,1738911.67,0,0,33731.73333,31861260.55,21069.73925,9160,5535394,9008.071755,0,15095,236.916,100.704,184.253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2016,1772306.67,49535.48,127432,0,0,28023.9773,8240,5480098,0,0,9795,236.944,100.699,184.342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2016,1809058.33,0,0,14290.66667,34249657.55,21323.33197,8080,5872523,10693.14659,0,10876,237.111,100.666,184.874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2016,1952740.00,198829.32,0,7345.2,15189759.02,0,0,5822926,4345.793221,0,19401.65385,237.111,100.666,184.874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/2016,1507805.00,0,0,0,0,0,0,5027123,0,0,19401.65385,237.111,100.666,184.874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/2016,1510391.67,124668.88,0,0,32458460.73,16067.67012,6880,4561518,7246.789212,0,583,237.111,100.666,184.874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2016,1588840.00,0,0,49518.26667,0,28877.38417,8480,4996211,0,0,8224,238.132,100.626,185.495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/14/2016,1605990.00,59317.32,131982.4,0,0,17065.23476,7120,4938630,0,0,5311,238.132,100.626,185.495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2016,1356010.00,0,0,0,0,21110.45735,6880,4520383,0,0,7428,238.132,100.626,185.495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2016,2103936.67,0,198265.6,40738.26667,80241679.46,18271.14539,7600,4506918,19413.14522,0,10025,238.132,100.626,185.495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2016,1120835.00,0,0,0,3439178.323,13909.65659,5720,3738504,62.51193421,0,9460,238.777,100.638,185.850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/11/2016,1141140.00,0,199241.6,0,0,13329.7719,5600,3768926,0,0,2964,239.261,100.648,186.116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/18/2016,1166880.00,33380.2,0,0,28249364.1,17090.72333,5360,3663385,7046.06356,0,11663,239.261,100.648,186.116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/25/2016,888806.67,0,0,0,0,12314.67422,5400,2960479,0,0,6317,239.261,100.648,186.116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/2/2016,898873.33,0,0,37555.73333,0,11055.04348,3800,2861890,0,0,5408,239.538,100.684,186.272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/9/2016,889373.33,0,149873.6,0,0,13268.14271,4280,2941465,0,0,1900,240.229,100.773,186.662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/16/2016,1915375.00,0,0,0,50755966.77,0,0,3039148,11021.79232,0,19401.65385,240.229,100.773,186.662,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5/23/2016,1006845.00,0,373328,0,0,0,0,3292482,0,0,19401.65385,240.229,100.773,186.662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/30/2016,869198.33,0,0,0,0,13697.36256,4040,2895248,0,0,9003,240.229,100.773,186.662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/6/2016,727250.00,0,0,0,0,9330.996159,3600,2427455,0,0,4305,240.905,100.754,187.130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/13/2016,753730.00,0,0,0,0,14439.94311,4560,2516566,0,0,7217,241.018,100.751,187.208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/20/2016,999196.67,61417.16,371724.8,0,33454960.66,13426.18537,4880,3012353,7659.467544,0,1983,241.018,100.751,187.208,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6/27/2016,845843.33,0,0,0,0,11025.09151,4520,2826660,0,0,3437,241.018,100.751,187.208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/4/2016,1126016.67,30363.04,0,15505.2,0,13000.97539,5240,3489775,0,0,4147,240.795,100.665,187.521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/11/2016,1140978.33,0,0,0,0,17558.74219,5720,3807127,0,0,8479,240.628,100.601,187.755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/18/2016,1242656.67,5701.24,958929.6,14342,33729872.87,12646.61028,4280,3824504,10658.44487,0,6348,240.628,100.601,187.755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/25/2016,1293483.33,0,0,0,0,18869.83387,5840,4307032,0,0,13762,240.628,100.601,187.755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/1/2016,1484843.33,84540.76,492651.2,0,53605561.39,20555.1551,6840,4396674,15306.09425,0,11841,240.660,100.585,187.846,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/8/2016,1485698.33,0,0,2423.333333,0,21913.05633,7600,4941143,0,0,17162,240.849,100.493,188.397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/15/2016,1556608.33,85892.04,0,0,15373941.62,0,0,4762083,3035.633075,0,19401.65385,240.849,100.493,188.397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/22/2016,1391206.67,0,0,41939.2,11664166.53,0,0,4409483,1925.518155,0,19401.65385,240.849,100.493,188.397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/29/2016,2018783.33,71973.48,478937.6,0,0,27453.53936,9240,6065021,0,0,2453,240.849,100.493,188.397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9/5/2016,2170721.67,63785.52,263430.4,9244.133333,3879870.365,21811.12699,9520,6512777,188.3907329,0,3186,241.263,100.479,188.855,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/12/2016,2247670.00,0,480347.2,0,0,30396.49893,10000,7311071,0,0,11247,241.428,100.473,189.038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/19/2016,2192026.67,0,98083.2,76609.86667,54564098.36,31697.68061,10200,6652807,13612.8543,0,15280,241.428,100.473,189.038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/26/2016,1895213.33,0,487126.4,0,0,22420.11815,8920,6168548,0,0,2886,241.428,100.473,189.038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10/3/2016,2232910.00,433609.92,365609.6,29439.46667,42679536.94,28940.12738,10120,6395275,9441.503078,0,14067,241.557,100.507,189.314,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/10/2016,2406035.00,0,0,32171.33333,46050657.17,37640.48678,11960,7711902,10842.50009,0,24098,241.729,100.552,189.680,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/17/2016,2252445.00,244168.04,89387.2,0,61417892.42,36705.0621,11160,6734048,15973.25188,0,26550,241.729,100.552,189.680,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/24/2016,2663125.00,0,476737.6,28082.93333,63942540.26,31599.39534,12240,8356638,17597.76881,0,17728,241.729,100.552,189.680,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/31/2016,2974771.67,281984.36,0,0,71765591.94,34659.92398,14680,8937615,19222.28574,0,13989,241.729,100.552,189.680,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
